1 0 1 ..CCHH..FFE.AA..E.G.BBB.G.D.IIG.D...
2 1 1 .CC.HH..FFE.AA..E.G.BBB.G.D.IIG.D... C99
2 1 1 CC..HH..FFE.AA..E.G.BBB.G.D.IIG.D... C98
2 1 1 ..CCHH.FF.E.AA..E.G.BBB.G.D.IIG.D... F99
2 1 1 ..CCHHFF..E.AA..E.G.BBB.G.D.IIG.D... F98
2 1 1 ..CCHH..FFE..AA.E.G.BBB.G.D.IIG.D... A99
2 1 1 ..CCHH..FFE...AAE.G.BBB.G.D.IIG.D... A98
2 1 1 ..CCHH..FFE.AA..E.GBBB..G.D.IIG.D... B99
2 1 1 ..CCHH..FFE.AA..E.G..BBBG.D.IIG.D... B99
2 1 1 ..CCHH..FFE.AA..E.G.BBB.G.DII.G.D... I99
3 2 1 .CCHH...FFE.AA..E.G.BBB.G.D.IIG.D... C99 H99
3 2 1 .CC.HH.FF.E.AA..E.G.BBB.G.D.IIG.D... C99 F99
3 2 1 .CC.HHFF..E.AA..E.G.BBB.G.D.IIG.D... C99 F98
3 2 1 .CC.HH..FFE..AA.E.G.BBB.G.D.IIG.D... C99 A99
3 2 1 .CC.HH..FFE...AAE.G.BBB.G.D.IIG.D... C99 A98
3 2 1 .CC.HH..FFE.AA..E.GBBB..G.D.IIG.D... C99 B99
3 2 1 .CC.HH..FFE.AA..E.G..BBBG.D.IIG.D... C99 B99
3 2 1 .CC.HH..FFE.AA..E.G.BBB.G.DII.G.D... C99 I99
3 2 1 CC.HH...FFE.AA..E.G.BBB.G.D.IIG.D... C98 H99
3 2 1 CCHH....FFE.AA..E.G.BBB.G.D.IIG.D... C98 H98
3 2 1 CC..HH.FF.E.AA..E.G.BBB.G.D.IIG.D... C98 F99
3 2 1 CC..HHFF..E.AA..E.G.BBB.G.D.IIG.D... C98 F98
3 2 1 CC..HH..FFE..AA.E.G.BBB.G.D.IIG.D... C98 A99
3 2 1 CC..HH..FFE...AAE.G.BBB.G.D.IIG.D... C98 A98
3 2 1 CC..HH..FFE.AA..E.GBBB..G.D.IIG.D... C98 B99
3 2 1 CC..HH..FFE.AA..E.G..BBBG.D.IIG.D... C98 B99
3 2 1 CC..HH..FFE.AA..E.G.BBB.G.DII.G.D... C98 I99
3 2 1 ..CCHH.FF.E..AA.E.G.BBB.G.D.IIG.D... F99 A99
3 2 1 ..CCHH.FF.E...AAE.G.BBB.G.D.IIG.D... F99 A98
3 2 1 ..CCHH.FF.E.AA..E.GBBB..G.D.IIG.D... F99 B99
3 2 1 ..CCHH.FF.E.AA..E.G..BBBG.D.IIG.D... F99 B99
3 2 1 ..CCHH.FF.E.AA..E.G.BBB.G.DII.G.D... F99 I99
3 2 1 ..CCHHFF..E..AA.E.G.BBB.G.D.IIG.D... F98 A99
3 2 1 ..CCHHFF..E...AAE.G.BBB.G.D.IIG.D... F98 A98
3 2 1 ..CCHHFF..E.AA..E.GBBB..G.D.IIG.D... F98 B99
3 2 1 ..CCHHFF..E.AA..E.G..BBBG.D.IIG.D... F98 B99
3 2 1 ..CCHHFF..E.AA..E.G.BBB.G.DII.G.D... F98 I99
3 2 1 ..CCHH..FFE.GAA.E.G.BBB.G.D.II..D... A99 G99
3 2 1 ..CCHHG.FFE.GAA.E.G.BBB...D.II..D... A99 G98
3 2 1 G.CCHHG.FFE.GAA.E...BBB...D.II..D... A99 G97
3 2 1 ..CCHH..FFE..AA.E.GBBB..G.D.IIG.D... A99 B99
3 2 1 ..CCHH..FFE..AA.E.G..BBBG.D.IIG.D... A99 B99
3 2 1 ..CCHH..FFE..AA.E.G.BBB.G.DII.G.D... A99 I99
3 2 1 ..CCHH..FFE.G.AAE.G.BBB.G.D.II..D... A98 G99
3 2 1 ..CCHHG.FFE.G.AAE.G.BBB...D.II..D... A98 G98
3 2 1 G.CCHHG.FFE.G.AAE...BBB...D.II..D... A98 G97
3 2 1 ..CCHH..FFE...AAE.GBBB..G.D.IIG.D... A98 B99
3 2 1 ..CCHH..FFE...AAE.G..BBBG.D.IIG.D... A98 B99
3 2 1 ..CCHH..FFE...AAE.G.BBB.G.DII.G.D... A98 I99
3 2 1 ..CCHH..FF..AA..E.GBBBE.G.D.IIG.D... E99 B99
3 2 1 ..CCHH..FFE.AA..E.GBBB..G.DII.G.D... B99 I99
3 2 1 ..CCHH..FFE.AA..E.G.DBBBG.D.IIG..... B99 D99
3 2 1 ..CCHH..FFE.AA..E.G..BBBG.DII.G.D... B99 I99
3 3 0 CCHHE...FFE.AA....G.BBB.G.D.IIG.D... C98 H98 E99
4 2 2 ..CCHH..FFE.AAD.E.G.DBBBG...IIG..... B99 D98
4 3 1 .CCHH..FF.E.AA..E.G.BBB.G.D.IIG.D... C99 H99 F99
4 3 1 .CCHH.FF..E.AA..E.G.BBB.G.D.IIG.D... C99 H99 F98
4 3 1 .CCHH...FFE..AA.E.G.BBB.G.D.IIG.D... C99 H99 A99
4 3 1 .CCHH...FFE...AAE.G.BBB.G.D.IIG.D... C99 H99 A98
4 3 1 .CCHH...FFE.AA..E.GBBB..G.D.IIG.D... C99 H99 B99
4 3 1 .CCHH...FFE.AA..E.G..BBBG.D.IIG.D... C99 H99 B99
4 3 1 .CCHH...FFE.AA..E.G.BBB.G.DII.G.D... C99 H99 I99
4 3 1 .CC.HH.FF.E..AA.E.G.BBB.G.D.IIG.D... C99 F99 A99
4 3 1 .CC.HH.FF.E...AAE.G.BBB.G.D.IIG.D... C99 F99 A98
4 3 1 .CC.HH.FF.E.AA..E.GBBB..G.D.IIG.D... C99 F99 B99
4 3 1 .CC.HH.FF.E.AA..E.G..BBBG.D.IIG.D... C99 F99 B99
4 3 1 .CC.HH.FF.E.AA..E.G.BBB.G.DII.G.D... C99 F99 I99
4 3 1 .CC.HHFF..E..AA.E.G.BBB.G.D.IIG.D... C99 F98 A99
4 3 1 .CC.HHFF..E...AAE.G.BBB.G.D.IIG.D... C99 F98 A98
4 3 1 .CC.HHFF..E.AA..E.GBBB..G.D.IIG.D... C99 F98 B99
4 3 1 .CC.HHFF..E.AA..E.G..BBBG.D.IIG.D... C99 F98 B99
4 3 1 .CC.HHFF..E.AA..E.G.BBB.G.DII.G.D... C99 F98 I99
4 3 1 .CC.HH..FFE.GAA.E.G.BBB.G.D.II..D... C99 A99 G99
4 3 1 .CC.HHG.FFE.GAA.E.G.BBB...D.II..D... C99 A99 G98
4 3 1 GCC.HHG.FFE.GAA.E...BBB...D.II..D... C99 A99 G97
4 3 1 .CC.HH..FFE..AA.E.GBBB..G.D.IIG.D... C99 A99 B99
4 3 1 .CC.HH..FFE..AA.E.G..BBBG.D.IIG.D... C99 A99 B99
4 3 1 .CC.HH..FFE..AA.E.G.BBB.G.DII.G.D... C99 A99 I99
4 3 1 .CC.HH..FFE.G.AAE.G.BBB.G.D.II..D... C99 A98 G99
4 3 1 .CC.HHG.FFE.G.AAE.G.BBB...D.II..D... C99 A98 G98
4 3 1 GCC.HHG.FFE.G.AAE...BBB...D.II..D... C99 A98 G97
4 3 1 .CC.HH..FFE...AAE.GBBB..G.D.IIG.D... C99 A98 B99
4 3 1 .CC.HH..FFE...AAE.G..BBBG.D.IIG.D... C99 A98 B99
4 3 1 .CC.HH..FFE...AAE.G.BBB.G.DII.G.D... C99 A98 I99
4 3 1 .CC.HH..FF..AA..E.GBBBE.G.D.IIG.D... C99 E99 B99
4 3 1 .CC.HH..FFE.AA..E.GBBB..G.DII.G.D... C99 B99 I99
4 3 1 .CC.HH..FFE.AA..E.G.DBBBG.D.IIG..... C99 B99 D99
4 3 1 .CC.HH..FFE.AA..E.G..BBBG.DII.G.D... C99 B99 I99
4 3 1 CC.HH..FF.E.AA..E.G.BBB.G.D.IIG.D... C98 H99 F99
4 3 1 CC.HH.FF..E.AA..E.G.BBB.G.D.IIG.D... C98 H99 F98
4 3 1 CC.HH...FFE..AA.E.G.BBB.G.D.IIG.D... C98 H99 A99
4 3 1 CC.HH...FFE...AAE.G.BBB.G.D.IIG.D... C98 H99 A98
4 3 1 CC.HH...FFE.AA..E.GBBB..G.D.IIG.D... C98 H99 B99
4 3 1 CC.HH...FFE.AA..E.G..BBBG.D.IIG.D... C98 H99 B99
4 3 1 CC.HH...FFE.AA..E.G.BBB.G.DII.G.D... C98 H99 I99
4 3 1 CCHH...FF.E.AA..E.G.BBB.G.D.IIG.D... C98 H98 F99
4 3 1 CCHH..FF..E.AA..E.G.BBB.G.D.IIG.D... C98 H98 F98
4 3 1 CCHH....FFE..AA.E.G.BBB.G.D.IIG.D... C98 H98 A99
4 3 1 CCHH....FFE...AAE.G.BBB.G.D.IIG.D... C98 H98 A98
4 3 1 CCHH....FFE.AA..E.GBBB..G.D.IIG.D... C98 H98 B99
4 3 1 CCHH....FFE.AA..E.G..BBBG.D.IIG.D... C98 H98 B99
4 3 1 CCHH....FFE.AA..E.G.BBB.G.DII.G.D... C98 H98 I99
