1 0 1 CCCG...D.GF..DAAF.HH..F.B.EEIIB.....
2 1 1 CCCGF..D.GF..DAAF.HH....B.EEIIB..... F99
2 1 1 CCCG...D.GF..DAAF..HH.F.B.EEIIB..... H99
2 1 1 CCCG...D.GF..DAAF...HHF.B.EEIIB..... H98
2 1 1 CCCG...D.GF..DAAF.HH..F.BEE.IIB..... E99
3 2 1 CCCGF..D.GF..DAAF..HH...B.EEIIB..... F99 H99
3 2 1 CCCGF..D.GF..DAAF...HH..B.EEIIB..... F99 H98
3 2 1 CCCGF..D.GF..DAAF....HH.B.EEIIB..... F99 H97
3 2 1 CCCGF..D.GF..DAAF.....HHB.EEIIB..... F99 H96
3 2 1 CCCGF..D.GF..DAAF.HH....BEE.IIB..... F99 E99
3 2 1 CCCG...D.GF..DAAF.BHH.F.B.EEII...... H99 B99
3 2 1 CCCG...D.GF.BDAAF.BHH.F...EEII...... H99 B98
3 2 1 CCCG..BD.GF.BDAAF..HH.F...EEII...... H99 B97
3 2 1 CCCG...D.GF..DAAF..HH.F.BEE.IIB..... H99 E99
3 2 1 CCCG.....GF..DAAF..DHHF.B.EEIIB..... D99 H98
3 2 1 CCCG.....GF...AAF..DHHF.BDEEIIB..... D98 H98
3 2 1 CCCG.....GF...AAF...HHF.BDEEIIBD.... D97 H98
3 2 1 CCCG...D.GF..DAAF.B.HHF.B.EEII...... H98 B99
3 2 1 CCCG...D.GF.BDAAF.B.HHF...EEII...... H98 B98
3 2 1 CCCG..BD.GF.BDAAF...HHF...EEII...... H98 B97
3 2 1 CCCG...D.GF..DAAF...HHF.BEE.IIB..... H98 E99
3 2 1 CCCG...D.GF..DAAF.HH..F.BEEII.B..... E99 I99
4 3 1 CCCGF..D.GF..DAAF.BHH...B.EEII...... F99 H99 B99
4 3 1 CCCGF..D.GF.BDAAF.BHH.....EEII...... F99 H99 B98
4 3 1 CCCGF.BD.GF.BDAAF..HH.....EEII...... F99 H99 B97
4 3 1 CCCGF..D.GF..DAAF..HH...BEE.IIB..... F99 H99 E99
4 3 1 CCCGF....GF..DAAF..DHH..B.EEIIB..... D99 F99 H98
4 3 1 CCCGF....GF...AAF..DHH..BDEEIIB..... D98 F99 H98
4 3 1 CCCGF....GF...AAF...HH..BDEEIIBD.... D97 F99 H98
4 3 1 CCCGF..D.GF..DAAF.B.HH..B.EEII...... F99 H98 B99
4 3 1 CCCGF..D.GF.BDAAF.B.HH....EEII...... F99 H98 B98
4 3 1 CCCGF.BD.GF.BDAAF...HH....EEII...... F99 H98 B97
4 3 1 CCCGF..D.GF..DAAF...HH..BEE.IIB..... F99 H98 E99
4 3 1 CCCGF....GF..DAAF..D.HH.B.EEIIB..... D99 F99 H97
4 3 1 CCCGF....GF...AAF..D.HH.BDEEIIB..... D98 F99 H97
4 3 1 CCCGF....GF...AAF....HH.BDEEIIBD.... D97 F99 H97
4 3 1 CCCGF..D.GF..DAAF.B..HH.B.EEII...... F99 H97 B99
4 3 1 CCCGF..D.GF.BDAAF.B..HH...EEII...... F99 H97 B98
4 3 1 CCCGF.BD.GF.BDAAF....HH...EEII...... F99 H97 B97
4 3 1 CCCGF..D.GF..DAAF....HH.BEE.IIB..... F99 H97 E99
4 3 1 CCCGF....GF..DAAF..D..HHB.EEIIB..... D99 F99 H96
4 3 1 CCCGF....GF...AAF..D..HHBDEEIIB..... D98 F99 H96
4 3 1 CCCGF....GF...AAF.....HHBDEEIIBD.... D97 F99 H96
4 3 1 CCCGF..D.GF..DAAF.B...HHB.EEII...... F99 H96 B99
4 3 1 CCCGF..D.GF.BDAAF.B...HH..EEII...... F99 H96 B98
4 3 1 CCCGF.BD.GF.BDAAF.....HH..EEII...... F99 H96 B97
4 3 1 CCCGF..D.GF..DAAF.....HHBEE.IIB..... F99 H96 E99
4 3 1 CCCGF..D.GF..DAAF.HH....BEEII.B..... F99 E99 I99
4 3 1 CCCG...D.GF..DAAF.BHH.F.BEE.II...... H99 B99 E99
4 3 1 CCCG...D.GF.BDAAF.BHH.F..EE.II...... H99 B98 E99
4 3 1 CCCG...D.GF.BDAAF.BHH.F.EE..II...... H99 B98 E98
4 3 1 CCCG..BD.GF.BDAAF.HH..F...EEII...... H98 B97
4 3 1 CCCG..BD.GF.BDAAF..HH.F..EE.II...... H99 B97 E99
4 3 1 CCCG..BD.GF.BDAAF..HH.F.EE..II...... H99 B97 E98
4 3 1 CCCG...D.GF..DAAF..HH.F.BEEII.B..... H99 E99 I99
4 3 1 CCCG.....GF..DAAF.BDHHF.B.EEII...... D99 H98 B99
4 3 1 CCCG.....GF.BDAAF.BDHHF...EEII...... D99 H98 B98
4 3 1 CCCG..B..GF.BDAAF..DHHF...EEII...... D99 H98 B97
4 3 1 CCCG.....GF..DAAF..DHHF.BEE.IIB..... D99 H98 E99
4 3 1 CCCG.....GF..AA.F..DHHF.BDEEIIB..... D98 A99 H98
4 3 1 CCCG.....GF.AA..F..DHHF.BDEEIIB..... D98 A98 H98
4 3 1 CCCG.....GF...AAF.BDHHF.BDEEII...... D98 H98 B99
4 3 1 CCCG.....GF.B.AAF.BDHHF..DEEII...... D98 H98 B98
4 3 1 CCCG..B..GF.B.AAF..DHHF..DEEII...... D98 H98 B97
4 3 1 CCCG.....GF..AA.F...HHF.BDEEIIBD.... D97 A99 H98
4 3 1 CCCG.....GF.AA..F...HHF.BDEEIIBD.... D97 A98 H98
4 3 1 CCCG.....GF...AAF..HH.F.BDEEIIBD.... D97 H97
4 3 1 CCCG.....GF...AAF.HH..F.BDEEIIBD.... D97 H96
4 3 1 CCCG.....GF...AAF.B.HHF.BDEEII.D.... D97 H98 B99
4 3 1 CCCG.....GF.B.AAF.B.HHF..DEEII.D.... D97 H98 B98
4 3 1 CCCG..B..GF.B.AAF...HHF..DEEII.D.... D97 H98 B97
4 3 1 CCCG...D.GF..DAAF.B.HHF.BEE.II...... H98 B99 E99
4 3 1 CCCG...D.GF.BDAAF.B.HHF..EE.II...... H98 B98 E99
4 3 1 CCCG...D.GF.BDAAF.B.HHF.EE..II...... H98 B98 E98
4 3 1 CCCG..BD.GF.BDAAF...HHF..EE.II...... H98 B97 E99
4 3 1 CCCG..BD.GF.BDAAF...HHF.EE..II...... H98 B97 E98
4 3 1 CCCG...D.GF..DAAF...HHF.BEEII.B..... H98 E99 I99
5 4 1 CCCGF..D.GF..DAAF.BHH...BEE.II...... F99 H99 B99 E99
5 4 1 CCCGF..D.GF.BDAAF.BHH....EE.II...... F99 H99 B98 E99
5 4 1 CCCGF..D.GF.BDAAF.BHH...EE..II...... F99 H99 B98 E98
5 4 1 CCCGF.BD.GF.BDAAF.HH......EEII...... F99 H98 B97
5 4 1 CCCGF.BD.GF.BDAAF..HH....EE.II...... F99 H99 B97 E99
5 4 1 CCCGF.BD.GF.BDAAF..HH...EE..II...... F99 H99 B97 E98
5 4 1 CCCGF..D.GF..DAAF..HH...BEEII.B..... F99 H99 E99 I99
5 4 1 CCCGF....GF..DAAF.BDHH..B.EEII...... D99 F99 H98 B99
5 4 1 CCCGF....GF.BDAAF.BDHH....EEII...... D99 F99 H98 B98
5 4 1 CCCGF.B..GF.BDAAF..DHH....EEII...... D99 F99 H98 B97
5 4 1 CCCGF....GF..DAAF..DHH..BEE.IIB..... D99 F99 H98 E99
5 4 1 CCCGF....GF..AA.F..DHH..BDEEIIB..... D98 F99 A99 H98
5 4 1 CCCGF....GF.AA..F..DHH..BDEEIIB..... D98 F99 A98 H98
5 4 1 CCCGF....GF...AAF.BDHH..BDEEII...... D98 F99 H98 B99
5 4 1 CCCGF....GF.B.AAF.BDHH...DEEII...... D98 F99 H98 B98
5 4 1 CCCGF.B..GF.B.AAF..DHH...DEEII...... D98 F99 H98 B97
5 4 1 CCCGF....GF..AA.F...HH..BDEEIIBD.... D97 F99 A99 H98
5 4 1 CCCGF....GF.AA..F...HH..BDEEIIBD.... D97 F99 A98 H98
5 4 1 CCCGF....GF...AAF..HH...BDEEIIBD.... D97 F99 H97
5 4 1 CCCGF....GF...AAF.HH....BDEEIIBD.... D97 F99 H96
5 4 1 CCCGF....GF...AAF.B.HH..BDEEII.D.... D97 F99 H98 B99
5 4 1 CCCGF....GF.B.AAF.B.HH...DEEII.D.... D97 F99 H98 B98
5 4 1 CCCGF.B..GF.B.AAF...HH...DEEII.D.... D97 F99 H98 B97
5 4 1 CCCGF..D.GF..DAAF.B.HH..BEE.II...... F99 H98 B99 E99
5 4 1 CCCGF..D.GF.BDAAF.B.HH...EE.II...... F99 H98 B98 E99
5 4 1 CCCGF..D.GF.BDAAF.B.HH..EE..II...... F99 H98 B98 E98
5 4 1 CCCGF.BD.GF.BDAAF...HH...EE.II...... F99 H98 B97 E99
5 4 1 CCCGF.BD.GF.BDAAF...HH..EE..II...... F99 H98 B97 E98
5 4 1 CCCGF..D.GF..DAAF...HH..BEEII.B..... F99 H98 E99 I99
5 4 1 CCCGF....GF..DAAF.BD.HH.B.EEII...... D99 F99 H97 B99
5 4 1 CCCGF....GF.BDAAF.BD.HH...EEII...... D99 F99 H97 B98
5 4 1 CCCGF.B..GF.BDAAF..D.HH...EEII...... D99 F99 H97 B97
5 4 1 CCCGF....GF..DAAF..D.HH.BEE.IIB..... D99 F99 H97 E99
5 4 1 CCCGF....GF..AA.F..D.HH.BDEEIIB..... D98 F99 A99 H97
5 4 1 CCCGF....GF.AA..F..D.HH.BDEEIIB..... D98 F99 A98 H97
5 4 1 CCCGF....GF...AAF.BD.HH.BDEEII...... D98 F99 H97 B99
5 4 1 CCCGF....GF.B.AAF.BD.HH..DEEII...... D98 F99 H97 B98
5 4 1 CCCGF.B..GF.B.AAF..D.HH..DEEII...... D98 F99 H97 B97
5 4 1 CCCGF....GF..AA.F....HH.BDEEIIBD.... D97 F99 A99 H97
5 4 1 CCCGF....GF.AA..F....HH.BDEEIIBD.... D97 F99 A98 H97
5 4 1 CCCGF....GF...AAF.B..HH.BDEEII.D.... D97 F99 H97 B99
5 4 1 CCCGF....GF.B.AAF.B..HH..DEEII.D.... D97 F99 H97 B98
5 4 1 CCCGF.B..GF.B.AAF....HH..DEEII.D.... D97 F99 H97 B97
5 4 1 CCCGF..D.GF..DAAF.B..HH.BEE.II...... F99 H97 B99 E99
5 4 1 CCCGF..D.GF.BDAAF.B..HH..EE.II...... F99 H97 B98 E99
5 4 1 CCCGF..D.GF.BDAAF.B..HH.EE..II...... F99 H97 B98 E98
5 4 1 CCCGF.BD.GF.BDAAF....HH..EE.II...... F99 H97 B97 E99
5 4 1 CCCGF.BD.GF.BDAAF....HH.EE..II...... F99 H97 B97 E98
5 4 1 CCCGF..D.GF..DAAF....HH.BEEII.B..... F99 H97 E99 I99
5 4 1 CCCGF....GF..DAAF.BD..HHB.EEII...... D99 F99 H96 B99
5 4 1 CCCGF....GF.BDAAF.BD..HH..EEII...... D99 F99 H96 B98
5 4 1 CCCGF.B..GF.BDAAF..D..HH..EEII...... D99 F99 H96 B97
5 4 1 CCCGF....GF..DAAF..D..HHBEE.IIB..... D99 F99 H96 E99
5 4 1 CCCGF....GF..AA.F..D..HHBDEEIIB..... D98 F99 A99 H96
5 4 1 CCCGF....GF.AA..F..D..HHBDEEIIB..... D98 F99 A98 H96
5 4 1 CCCGF....GF...AAF.BD..HHBDEEII...... D98 F99 H96 B99
5 4 1 CCCGF....GF.B.AAF.BD..HH.DEEII...... D98 F99 H96 B98
5 4 1 CCCGF.B..GF.B.AAF..D..HH.DEEII...... D98 F99 H96 B97
5 4 1 CCCGF....GF..AA.F.....HHBDEEIIBD.... D97 F99 A99 H96
5 4 1 CCCGF....GF.AA..F.....HHBDEEIIBD.... D97 F99 A98 H96
5 4 1 CCCGF....GF...AAF.B...HHBDEEII.D.... D97 F99 H96 B99
5 4 1 CCCGF....GF.B.AAF.B...HH.DEEII.D.... D97 F99 H96 B98
5 4 1 CCCGF.B..GF.B.AAF.....HH.DEEII.D.... D97 F99 H96 B97
5 4 1 CCCGF..D.GF..DAAF.B...HHBEE.II...... F99 H96 B99 E99
5 4 1 CCCGF..D.GF.BDAAF.B...HH.EE.II...... F99 H96 B98 E99
5 4 1 CCCGF..D.GF.BDAAF.B...HHEE..II...... F99 H96 B98 E98
5 4 1 CCCGF.BD.GF.BDAAF.....HH.EE.II...... F99 H96 B97 E99
5 4 1 CCCGF.BD.GF.BDAAF.....HHEE..II...... F99 H96 B97 E98
5 4 1 CCCGF..D.GF..DAAF.....HHBEEII.B..... F99 H96 E99 I99
5 4 1 CCCG...D.GF..DAAF.BHH.F.BEEII....... H99 B99 E99 I99
