1 0 1 ..HHFF.BBBG.AA..G..DDDII.ECC...E....
2 1 1 .HH.FF.BBBG.AA..G..DDDII.ECC...E.... H99
2 1 1 HH..FF.BBBG.AA..G..DDDII.ECC...E.... H98
2 1 1 ..HHFFBBB.G.AA..G..DDDII.ECC...E.... B99
2 1 1 ..HHFF.BBBG..AA.G..DDDII.ECC...E.... A99
2 1 1 ..HHFF.BBBG...AAG..DDDII.ECC...E.... A98
2 1 1 ..HHFF.BBBG.AA..G.DDD.II.ECC...E.... D99
2 1 1 ..HHFF.BBBG.AA..G..DDDII.E.CC..E.... C99
2 1 1 ..HHFF.BBBG.AA..G..DDDII.E..CC.E.... C98
3 2 1 .HHFF..BBBG.AA..G..DDDII.ECC...E.... H99 F99
3 2 1 .HH.FFBBB.G.AA..G..DDDII.ECC...E.... H99 B99
3 2 1 .HH.FF.BBBG..AA.G..DDDII.ECC...E.... H99 A99
3 2 1 .HH.FF.BBBG...AAG..DDDII.ECC...E.... H99 A98
3 2 1 .HH.FF.BBBG.AA..G.DDD.II.ECC...E.... H99 D99
3 2 1 .HH.FF.BBBG.AA..G..DDDII.E.CC..E.... H99 C99
3 2 1 .HH.FF.BBBG.AA..G..DDDII.E..CC.E.... H99 C98
3 2 1 HH.FF..BBBG.AA..G..DDDII.ECC...E.... H98 F99
3 2 1 HHFF...BBBG.AA..G..DDDII.ECC...E.... H98 F98
3 2 1 HH..FFBBB.G.AA..G..DDDII.ECC...E.... H98 B99
3 2 1 HH..FF.BBBG..AA.G..DDDII.ECC...E.... H98 A99
3 2 1 HH..FF.BBBG...AAG..DDDII.ECC...E.... H98 A98
3 2 1 HH..FF.BBBG.AA..G.DDD.II.ECC...E.... H98 D99
3 2 1 HH..FF.BBBG.AA..G..DDDII.E.CC..E.... H98 C99
3 2 1 HH..FF.BBBG.AA..G..DDDII.E..CC.E.... H98 C98
3 2 1 ..HHFFBBB.G..AA.G..DDDII.ECC...E.... B99 A99
3 2 1 ..HHFFBBB.G...AAG..DDDII.ECC...E.... B99 A98
3 2 1 ..HHFFBBB.G.AA..G.DDD.II.ECC...E.... B99 D99
3 2 1 ..HHFFBBB.G.AA..G..DDDII.E.CC..E.... B99 C99
3 2 1 ..HHFFBBB.G.AA..G..DDDII.E..CC.E.... B99 C98
3 2 1 ..HHFF.BBBG..AA.G.DDD.II.ECC...E.... A99 D99
3 2 1 ..HHFF.BBBG..AA.G..DDDII.E.CC..E.... A99 C99
3 2 1 ..HHFF.BBBG..AA.G..DDDII.E..CC.E.... A99 C98
3 2 1 ..HHFF.BBBG...AAG.DDD.II.ECC...E.... A98 D99
3 2 1 ..HHFF.BBBG...AAG..DDDII.E.CC..E.... A98 C99
3 2 1 ..HHFF.BBBG...AAG..DDDII.E..CC.E.... A98 C98
3 2 1 ..HHFF.BBBG.AA..G.DDDII..ECC...E.... D99 I99
3 2 1 ..HHFF.BBBG.AA..G.DDD.II.E.CC..E.... D99 C99
3 2 1 ..HHFF.BBBG.AA..G.DDD.II.E..CC.E.... D99 C98
3 3 0 HHFFG..BBBG.AA.....DDDII.ECC...E.... H98 F98 G99
4 3 1 .HHFF.BBB.G.AA..G..DDDII.ECC...E.... H99 F99 B99
4 3 1 .HHFF..BBBG..AA.G..DDDII.ECC...E.... H99 F99 A99
4 3 1 .HHFF..BBBG...AAG..DDDII.ECC...E.... H99 F99 A98
4 3 1 .HHFF..BBBG.AA..G.DDD.II.ECC...E.... H99 F99 D99
4 3 1 .HHFF..BBBG.AA..G..DDDII.E.CC..E.... H99 F99 C99
4 3 1 .HHFF..BBBG.AA..G..DDDII.E..CC.E.... H99 F99 C98
4 3 1 .HH.FFBBB.G..AA.G..DDDII.ECC...E.... H99 B99 A99
4 3 1 .HH.FFBBB.G...AAG..DDDII.ECC...E.... H99 B99 A98
4 3 1 .HH.FFBBB.G.AA..G.DDD.II.ECC...E.... H99 B99 D99
4 3 1 .HH.FFBBB.G.AA..G..DDDII.E.CC..E.... H99 B99 C99
4 3 1 .HH.FFBBB.G.AA..G..DDDII.E..CC.E.... H99 B99 C98
4 3 1 .HH.FF.BBBG..AA.G.DDD.II.ECC...E.... H99 A99 D99
4 3 1 .HH.FF.BBBG..AA.G..DDDII.E.CC..E.... H99 A99 C99
4 3 1 .HH.FF.BBBG..AA.G..DDDII.E..CC.E.... H99 A99 C98
4 3 1 .HH.FF.BBBG...AAG.DDD.II.ECC...E.... H99 A98 D99
4 3 1 .HH.FF.BBBG...AAG..DDDII.E.CC..E.... H99 A98 C99
4 3 1 .HH.FF.BBBG...AAG..DDDII.E..CC.E.... H99 A98 C98
4 3 1 .HH.FF.BBBG.AA..G.DDDII..ECC...E.... H99 D99 I99
4 3 1 .HH.FF.BBBG.AA..G.DDD.II.E.CC..E.... H99 D99 C99
4 3 1 .HH.FF.BBBG.AA..G.DDD.II.E..CC.E.... H99 D99 C98
4 3 1 HH.FF.BBB.G.AA..G..DDDII.ECC...E.... H98 F99 B99
4 3 1 HH.FF..BBBG..AA.G..DDDII.ECC...E.... H98 F99 A99
4 3 1 HH.FF..BBBG...AAG..DDDII.ECC...E.... H98 F99 A98
4 3 1 HH.FF..BBBG.AA..G.DDD.II.ECC...E.... H98 F99 D99
4 3 1 HH.FF..BBBG.AA..G..DDDII.E.CC..E.... H98 F99 C99
4 3 1 HH.FF..BBBG.AA..G..DDDII.E..CC.E.... H98 F99 C98
4 3 1 HHFF..BBB.G.AA..G..DDDII.ECC...E.... H98 F98 B99
4 3 1 HHFF...BBBG..AA.G..DDDII.ECC...E.... H98 F98 A99
4 3 1 HHFF...BBBG...AAG..DDDII.ECC...E.... H98 F98 A98
4 3 1 HHFF...BBBG.AA..G.DDD.II.ECC...E.... H98 F98 D99
4 3 1 HHFF...BBBG.AA..G..DDDII.E.CC..E.... H98 F98 C99
4 3 1 HHFF...BBBG.AA..G..DDDII.E..CC.E.... H98 F98 C98
4 3 1 HH..FFBBB.G..AA.G..DDDII.ECC...E.... H98 B99 A99
4 3 1 HH..FFBBB.G...AAG..DDDII.ECC...E.... H98 B99 A98
