0 0 0 G.II..GDDD..HAACB.HEECB...F.B...F...
1 1 0 GII...GDDD..HAACB.HEECB...F.B...F... I99
1 1 0 G..II.GDDD..HAACB.HEECB...F.B...F... I99
1 1 0 G...IIGDDD..HAACB.HEECB...F.B...F... I98
1 1 0 G.II..G.DDD.HAACB.HEECB...F.B...F... D99
1 1 0 G.II..G..DDDHAACB.HEECB...F.B...F... D98
1 1 0 G.II..GDDD...AACB.HEECB.H.F.B...F... H99
1 1 0 G.II..GDDD...AACB..EECB.H.F.B.H.F... H98
1 1 0 G.II..GDDD..HAA.B.HEECB...FCB...F... C99
1 1 0 G.II..GDDD..HAA.B.HEE.B...FCB...FC.. C98
1 1 0 G.II..GDDDB.HAACB.HEECB...F.....F... B99
1 1 0 G.IIB.GDDDB.HAACB.HEEC....F.....F... B98
1 1 0 G.II..GDDD..HAAC..HEECB...F.B...F.B. B99
2 2 0 GII...G.DDD.HAACB.HEECB...F.B...F... I99 D99
2 2 0 GII...G..DDDHAACB.HEECB...F.B...F... I99 D98
2 2 0 GII...GDDD...AACB.HEECB.H.F.B...F... I99 H99
2 2 0 GII...GDDD...AACB..EECB.H.F.B.H.F... I99 H98
2 2 0 GII...GDDD..HAA.B.HEECB...FCB...F... I99 C99
2 2 0 GII...GDDD..HAA.B.HEE.B...FCB...FC.. I99 C98
2 2 0 GII...GDDDB.HAACB.HEECB...F.....F... I99 B99
2 2 0 GII.B.GDDDB.HAACB.HEEC....F.....F... I99 B98
2 2 0 GII...GDDD..HAAC..HEECB...F.B...F.B. I99 B99
2 2 0 G..II.G.DDD.HAACB.HEECB...F.B...F... I99 D99
2 2 0 G..II.G..DDDHAACB.HEECB...F.B...F... I99 D98
2 2 0 G..II.GDDD...AACB.HEECB.H.F.B...F... I99 H99
2 2 0 G..II.GDDD...AACB..EECB.H.F.B.H.F... I99 H98
2 2 0 G..II.GDDD..HAA.B.HEECB...FCB...F... I99 C99
2 2 0 G..II.GDDD..HAA.B.HEE.B...FCB...FC.. I99 C98
2 2 0 G..II.GDDDB.HAACB.HEECB...F.....F... I99 B99
2 2 0 G..II.GDDD..HAAC..HEECB...F.B...F.B. I99 B99
2 2 0 G...IIG.DDD.HAACB.HEECB...F.B...F... I98 D99
2 2 0 G...IIG..DDDHAACB.HEECB...F.B...F... I98 D98
2 2 0 G...IIGDDD...AACB.HEECB.H.F.B...F... I98 H99
2 2 0 G...IIGDDD...AACB..EECB.H.F.B.H.F... I98 H98
2 2 0 G...IIGDDD..HAA.B.HEECB...FCB...F... I98 C99
2 2 0 G...IIGDDD..HAA.B.HEE.B...FCB...FC.. I98 C98
2 2 0 G...IIGDDDB.HAACB.HEECB...F.....F... I98 B99
2 2 0 G...IIGDDD..HAAC..HEECB...F.B...F.B. I98 B99
2 2 0 G.II..G.DDD..AACB.HEECB.H.F.B...F... D99 H99
2 2 0 G.II..G.DDD..AACB..EECB.H.F.B.H.F... D99 H98
2 2 0 G.II..G.DDD.HAA.B.HEECB...FCB...F... D99 C99
2 2 0 G.II..G.DDD.HAA.B.HEE.B...FCB...FC.. D99 C98
2 2 0 G.II..G.DDD.HAAC..HEECB...F.B...F.B. D99 B99
2 2 0 G.II..G..DDD.AACB.HEECB.H.F.B...F... D98 H99
2 2 0 G.II..G..DDD.AACB..EECB.H.F.B.H.F... D98 H98
2 2 0 G.II..G..DDDHAA.B.HEECB...FCB...F... D98 C99
2 2 0 G.II..G..DDDHAA.B.HEE.B...FCB...FC.. D98 C98
2 2 0 G.II..G..DDDHAAC..HEECB...F.B...F.B. D98 B99
2 2 0 ..II..GDDD..GAACB.HEECB.H.F.B...F... G99 H99
2 2 0 G.II..GDDD..AA.CB.HEECB.H.F.B...F... H99 A99
2 2 0 G.II..GDDD...AA.B.HEECB.H.FCB...F... H99 C99
2 2 0 G.II..GDDD...AA.B.HEE.B.H.FCB...FC.. H99 C98
2 2 0 G.II..GDDDB..AACB.HEECB.H.F.....F... H99 B99
2 2 0 G.IIB.GDDDB..AACB.HEEC..H.F.....F... H99 B98
2 2 0 G.II..GDDD...AAC..HEECB.H.F.B...F.B. H99 B99
2 2 0 ..II..GDDD..GAACB..EECB.H.F.B.H.F... G99 H98
2 2 0 ..II...DDD..GAACB.GEECB.H.F.B.H.F... G98 H98
2 2 0 G.II..GDDD..AA.CB..EECB.H.F.B.H.F... H98 A99
2 2 0 G.II..GDDD...AA.B..EECB.H.FCB.H.F... H98 C99
2 2 0 G.II..GDDD...AA.B..EE.B.H.FCB.H.FC.. H98 C98
2 2 0 G.II..GDDDB..AACB..EECB.H.F...H.F... H98 B99
2 2 0 G.IIB.GDDDB..AACB..EEC..H.F...H.F... H98 B98
2 2 0 G.II..GDDD...AAC...EECB.H.F.B.H.F.B. H98 B99
2 2 0 G.II..GDDD...AACB.EE.CB.H.F.B.H.F... H98 E99
2 2 0 G.II..GDDD..H.AAB.HEECB...FCB...F... A99 C99
2 2 0 G.II..GDDDB.HAA.B.HEECB...FC....F... C99 B99
2 2 0 G.IIB.GDDDB.HAA.B.HEEC....FC....F... C99 B98
2 2 0 G.II..GDDD..HAA...HEECB...FCB...F.B. C99 B99
2 2 0 G.II..GDDD..H.AAB.HEE.B...FCB...FC.. A99 C98
2 2 0 G.II..GDDDB.HAA.B.HEE.B...FC....FC.. C98 B99
2 2 0 G.IIB.GDDDB.HAA.B.HEE.....FC....FC.. C98 B98
2 2 0 G.II..GDDD..HAA...HEE.B...FCB...FCB. C98 B99
2 2 0 G.II..GDDD..HAA.B.H.EEB...FCB...FC.. C98 E99
3 3 0 GII...G.DDD..AACB.HEECB.H.F.B...F... I99 D99 H99
3 3 0 GII...G.DDD..AACB..EECB.H.F.B.H.F... I99 D99 H98
3 3 0 GII...G.DDD.HAA.B.HEECB...FCB...F... I99 D99 C99
3 3 0 GII...G.DDD.HAA.B.HEE.B...FCB...FC.. I99 D99 C98
3 3 0 GII...G.DDD.HAAC..HEECB...F.B...F.B. I99 D99 B99
3 3 0 GII...G..DDD.AACB.HEECB.H.F.B...F... I99 D98 H99
3 3 0 GII...G..DDD.AACB..EECB.H.F.B.H.F... I99 D98 H98
3 3 0 GII...G..DDDHAA.B.HEECB...FCB...F... I99 D98 C99
3 3 0 GII...G..DDDHAA.B.HEE.B...FCB...FC.. I99 D98 C98
3 3 0 GII...G..DDDHAAC..HEECB...F.B...F.B. I99 D98 B99
3 3 0 .II...GDDD..GAACB.HEECB.H.F.B...F... G99 I99 H99
3 3 0 GII...GDDD..AA.CB.HEECB.H.F.B...F... I99 H99 A99
3 3 0 GII...GDDD...AA.B.HEECB.H.FCB...F... I99 H99 C99
3 3 0 GII...GDDD...AA.B.HEE.B.H.FCB...FC.. I99 H99 C98
3 3 0 GII...GDDDB..AACB.HEECB.H.F.....F... I99 H99 B99
3 3 0 GII.B.GDDDB..AACB.HEEC..H.F.....F... I99 H99 B98
3 3 0 GII...GDDD...AAC..HEECB.H.F.B...F.B. I99 H99 B99
3 3 0 .II...GDDD..GAACB..EECB.H.F.B.H.F... G99 I99 H98
3 3 0 .II....DDD..GAACB.GEECB.H.F.B.H.F... G98 I99 H98
3 3 0 GII...GDDD..AA.CB..EECB.H.F.B.H.F... I99 H98 A99
3 3 0 GII...GDDD...AA.B..EECB.H.FCB.H.F... I99 H98 C99
3 3 0 GII...GDDD...AA.B..EE.B.H.FCB.H.FC.. I99 H98 C98
3 3 0 GII...GDDDB..AACB..EECB.H.F...H.F... I99 H98 B99
3 3 0 GII.B.GDDDB..AACB..EEC..H.F...H.F... I99 H98 B98
3 3 0 GII...GDDD...AAC...EECB.H.F.B.H.F.B. I99 H98 B99
3 3 0 GII...GDDD...AACB.EE.CB.H.F.B.H.F... I99 H98 E99
3 3 0 GII...GDDD..H.AAB.HEECB...FCB...F... I99 A99 C99
3 3 0 GII...GDDDB.HAA.B.HEECB...FC....F... I99 C99 B99
3 3 0 GII.B.GDDDB.HAA.B.HEEC....FC....F... I99 C99 B98
3 3 0 GII...GDDD..HAA...HEECB...FCB...F.B. I99 C99 B99
3 3 0 GII...GDDD..H.AAB.HEE.B...FCB...FC.. I99 A99 C98
3 3 0 GII...GDDDB.HAA.B.HEE.B...FC....FC.. I99 C98 B99
3 3 0 GII.B.GDDDB.HAA.B.HEE.....FC....FC.. I99 C98 B98
3 3 0 GII...GDDD..HAA...HEE.B...FCB...FCB. I99 C98 B99
3 3 0 GII...GDDD..HAA.B.H.EEB...FCB...FC.. I99 C98 E99
3 3 0 G..II.G.DDD..AACB.HEECB.H.F.B...F... I99 D99 H99
3 3 0 G..II.G.DDD..AACB..EECB.H.F.B.H.F... I99 D99 H98
3 3 0 G..II.G.DDD.HAA.B.HEECB...FCB...F... I99 D99 C99
3 3 0 G..II.G.DDD.HAA.B.HEE.B...FCB...FC.. I99 D99 C98
3 3 0 G..II.G.DDD.HAAC..HEECB...F.B...F.B. I99 D99 B99
3 3 0 G..II.G..DDD.AACB.HEECB.H.F.B...F... I99 D98 H99
3 3 0 G..II.G..DDD.AACB..EECB.H.F.B.H.F... I99 D98 H98
3 3 0 G..II.G..DDDHAA.B.HEECB...FCB...F... I99 D98 C99
3 3 0 G..II.G..DDDHAA.B.HEE.B...FCB...FC.. I99 D98 C98
3 3 0 G..II.G..DDDHAAC..HEECB...F.B...F.B. I99 D98 B99
3 3 0 ...II.GDDD..GAACB.HEECB.H.F.B...F... G99 I99 H99
3 3 0 G..II.GDDD..AA.CB.HEECB.H.F.B...F... I99 H99 A99
3 3 0 G..II.GDDD...AA.B.HEECB.H.FCB...F... I99 H99 C99
3 3 0 G..II.GDDD...AA.B.HEE.B.H.FCB...FC.. I99 H99 C98
3 3 0 G..II.GDDDB..AACB.HEECB.H.F.....F... I99 H99 B99
3 3 0 G..II.GDDD...AAC..HEECB.H.F.B...F.B. I99 H99 B99
3 3 0 ...II.GDDD..GAACB..EECB.H.F.B.H.F... G99 I99 H98
3 3 0 ...II..DDD..GAACB.GEECB.H.F.B.H.F... G98 I99 H98
3 3 0 G..II.GDDD..AA.CB..EECB.H.F.B.H.F... I99 H98 A99
3 3 0 G..II.GDDD...AA.B..EECB.H.FCB.H.F... I99 H98 C99
3 3 0 G..II.GDDD...AA.B..EE.B.H.FCB.H.FC.. I99 H98 C98
3 3 0 G..II.GDDDB..AACB..EECB.H.F...H.F... I99 H98 B99
3 3 0 G..II.GDDD...AAC...EECB.H.F.B.H.F.B. I99 H98 B99
3 3 0 G..II.GDDD...AACB.EE.CB.H.F.B.H.F... I99 H98 E99
3 3 0 G..II.GDDD..H.AAB.HEECB...FCB...F... I99 A99 C99
3 3 0 G..II.GDDDB.HAA.B.HEECB...FC....F... I99 C99 B99
3 3 0 G..II.GDDD..HAA...HEECB...FCB...F.B. I99 C99 B99
3 3 0 G..II.GDDD..H.AAB.HEE.B...FCB...FC.. I99 A99 C98
3 3 0 G..II.GDDDB.HAA.B.HEE.B...FC....FC.. I99 C98 B99
3 3 0 G..II.GDDD..HAA...HEE.B...FCB...FCB. I99 C98 B99
3 3 0 G..II.GDDD..HAA.B.H.EEB...FCB...FC.. I99 C98 E99
